id,employee_id:id,name,date_start,date_end,line_type_id:id,description
employee_resume_admin_park_lake_state_school,hr.employee_admin,ParkLakeStateSchool,2012-02-27,2012-11-03,resume_type_education,
employee_resume_admin_blue_mountains_grammar_school,hr.employee_admin,BlueMountainsGrammarSchool,2008-12-09,2011-12-16,resume_type_education,
employee_resume_admin_harrington_park_public_school,hr.employee_admin,HarringtonParkPublicSchool,2006-09-21,2008-11-15,resume_type_education,
employee_resume_admin_schultz_inc,hr.employee_admin,SchultzInc,2009-03-23,,resume_type_experience,"Engineer,electrical"
employee_resume_admin_white_inc,hr.employee_admin,WhiteInc,2007-05-24,2008-11-22,resume_type_experience,"Designer,television/filmset"
employee_resume_admin_greeneorr,hr.employee_admin,Greene-Orr,2008-12-23,2009-09-21,resume_type_experience,Magazinejournalist
employee_resume_admin_lewisbailey,hr.employee_admin,Lewis-Bailey,2009-10-22,2011-12-22,resume_type_experience,CivilServicefaststreamer
employee_resume_al_bathurst_west_public_school,hr.employee_al,BathurstWestPublicSchool,1997-05-06,1998-03-18,resume_type_education,
employee_resume_al_jones_ltd,hr.employee_al,JonesLtd,1998-02-05,1999-08-05,resume_type_experience,Energymanager
employee_resume_al_garcia_smith_and_king,hr.employee_al,"Garcia,SmithandKing",1998-09-05,,resume_type_experience,Medicalillustrator
employee_resume_mit_seymour_p12_college,hr.employee_mit,SeymourP-12College,2013-08-11,2015-07-01,resume_type_education,
employee_resume_mit_darlington_primary_school,hr.employee_mit,DarlingtonPrimarySchool,2012-08-08,2013-05-05,resume_type_education,
employee_resume_mit_sutherland_dianella_primary_school,hr.employee_mit,SutherlandDianellaPrimarySchool,2010-03-25,2012-06-27,resume_type_education,
employee_resume_mit_burns_lester_and_cuevas,hr.employee_mit,"Burns,LesterandCuevas",2012-04-24,2012-05-26,resume_type_experience,Policeofficer
employee_resume_mit_hill_group,hr.employee_mit,HillGroup,2012-05-28,2014-04-25,resume_type_experience,Glassblower/designer
employee_resume_mit_parker_roberson_and_acosta,hr.employee_mit,"Parker,RobersonandAcosta",2014-06-25,2016-04-25,resume_type_experience,Sciencewriter
employee_resume_mit_robinson_crawford_and_norman,hr.employee_mit,"Robinson,CrawfordandNorman",2017-10-23,2019-06-23,resume_type_experience,Psychiatricnurse
employee_resume_niv_kialla_west_primary_school,hr.employee_niv,KiallaWestPrimarySchool,2016-08-23,2017-03-26,resume_type_education,
employee_resume_niv_arroyo_ltd,hr.employee_niv,ArroyoLtd,2017-05-23,2018-09-23,resume_type_experience,Insurancerisksurveyor
employee_resume_stw_northern_bay_p12_college,hr.employee_stw,NorthernBayP-12College,2016-03-25,2017-06-03,resume_type_education,
employee_resume_stw_whitsunday_anglican_school,hr.employee_stw,WhitsundayAnglicanSchool,2014-05-06,2016-03-21,resume_type_education,
employee_resume_stw_tyndale_christian_school,hr.employee_stw,TyndaleChristianSchool,2011-03-04,2014-03-28,resume_type_education,
employee_resume_stw_green_ltd,hr.employee_stw,GreenLtd,2013-01-31,2015-04-01,resume_type_experience,Arboriculturist
employee_resume_stw_lynchhodges,hr.employee_stw,Lynch-Hodges,2012-12-01,,resume_type_experience,Publishingrightsmanager
employee_resume_stw_finley_rowe_and_adams,hr.employee_stw,"Finley,RoweandAdams",2012-12-31,,resume_type_experience,"Copywriter,advertising"
employee_resume_chs_avoca_primary_school,hr.employee_chs,AvocaPrimarySchool,1996-03-04,1996-10-26,resume_type_education,
employee_resume_chs_boyd_wilson_and_moore,hr.employee_chs,"Boyd,WilsonandMoore",1997-11-03,,resume_type_experience,Medicalphysicist
employee_resume_chs_freeman_williams_and_berger,hr.employee_chs,"Freeman,WilliamsandBerger",1997-02-02,1997-08-04,resume_type_experience,Humanresourcesofficer
employee_resume_chs_hanson_roach_and_jordan,hr.employee_chs,"Hanson,RoachandJordan",1998-03-04,2003-03-04,resume_type_experience,Geographicalinformationsystemsofficer
employee_resume_chs_davis_plc,hr.employee_chs,DavisPLC,2004-10-05,2016-06-04,resume_type_experience,"Secretary,company"
employee_resume_qdp_parke_state_school,hr.employee_qdp,ParkeStateSchool,1997-06-26,1999-03-17,resume_type_education,
employee_resume_qdp_evans_cooper_and_white,hr.employee_qdp,"Evans,CooperandWhite",1999-04-26,,resume_type_experience,"Therapist,speechandlanguage"
employee_resume_qdp_rivera_shaw_and_hughes,hr.employee_qdp,"Rivera,ShawandHughes",1998-11-26,,resume_type_experience,Landscapearchitect
employee_resume_qdp_phillips_jones_and_brown,hr.employee_qdp,"Phillips,JonesandBrown",1999-12-27,2001-07-27,resume_type_experience,"Teacher,specialeducationalneeds"
employee_resume_qdp_hughes_parker_and_barber,hr.employee_qdp,"Hughes,ParkerandBarber",2002-02-24,2007-07-27,resume_type_experience,"Engineer,drilling"
employee_resume_fme_st_michaels_primary_school,hr.employee_fme,StMichael'sPrimarySchool,2006-12-22,2009-01-23,resume_type_education,
employee_resume_fme_wodonga_primary_school,hr.employee_fme,WodongaPrimarySchool,2006-02-21,2006-09-27,resume_type_education,
employee_resume_fme_leinster_school,hr.employee_fme,LeinsterSchool,2003-10-14,2005-11-09,resume_type_education,
employee_resume_fme_russellwebster,hr.employee_fme,Russell-Webster,2006-05-14,2008-11-14,resume_type_experience,"Biochemist,clinical"
employee_resume_fme_lewis_group,hr.employee_fme,LewisGroup,2004-07-14,2005-11-14,resume_type_experience,Sportsdevelopmentofficer
employee_resume_fme_johnson_shaw_and_carroll,hr.employee_fme,"Johnson,ShawandCarroll",2004-07-14,2005-11-14,resume_type_experience,"Engineer,mining"
employee_resume_fpi_st_raphaels_primary_school,hr.employee_fpi,StRaphael'sPrimarySchool,2006-08-13,2008-09-30,resume_type_education,
employee_resume_fpi_woodridge_state_school,hr.employee_fpi,WoodridgeStateSchool,2005-12-28,2006-08-09,resume_type_education,
employee_resume_fpi_our_lady_star_of_the_sea_school,hr.employee_fpi,OurLadyStaroftheSeaSchool,2003-06-07,2005-12-26,resume_type_education,
employee_resume_fpi_chavez_group,hr.employee_fpi,ChavezGroup,2004-04-06,,resume_type_experience,Mentalhealthnurse
employee_resume_fpi_hubbarddean,hr.employee_fpi,Hubbard-Dean,2005-05-07,2007-08-08,resume_type_experience,Conferencecentremanager
employee_resume_jth_narellan_public_school,hr.employee_jth,NarellanPublicSchool,2004-11-02,2007-10-09,resume_type_education,
employee_resume_jth_wilkinson_plc,hr.employee_jth,WilkinsonPLC,2006-02-01,,resume_type_experience,Architecturaltechnologist
employee_resume_jth_simmonswilcox,hr.employee_jth,Simmons-Wilcox,2005-09-03,2006-12-03,resume_type_experience,ITsalesprofessional
employee_resume_jth_goodman_inc,hr.employee_jth,GoodmanInc,2007-06-03,,resume_type_experience,Analyticalchemist
